studyName,"Sample Number",Species,Region,Island,Stage,"Individual ID","Clutch Completion","Date Egg","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)",Sex,"Delta 15 N (o/oo)","Delta 13 C (o/oo)",Comments
PAL0708,11,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N68A1,Yes,2007-11-28,46.6,17.8,193,3800,FEMALE,8.95063,-24.59897,
PAL0708,12,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N68A2,Yes,2007-11-28,51.7,20.3,194,3775,MALE,8.68747,-24.38751,
PAL0708,13,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N69A1,Yes,2007-11-26,47.0,17.3,185,3700,FEMALE,8.72037,-24.80526,
PAL0708,14,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N69A2,Yes,2007-11-26,52.0,18.1,201,4050,MALE,9.02330,-24.38933,
PAL0708,15,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N70A1,Yes,2007-11-22,45.9,17.1,190,3575,FEMALE,9.12277,-24.90024,
PAL0708,16,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N70A2,Yes,2007-11-22,50.5,19.6,201,4050,MALE,9.80590,-24.72940,
PAL0708,17,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N71A1,No,2007-11-30,50.3,20.0,197,3300,MALE,10.02019,-24.54704,"Nest never observed with full clutch."
PAL0708,18,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N71A2,No,2007-11-30,58.0,17.8,181,3700,FEMALE,9.14382,-24.57994,"Nest never observed with full clutch."
PAL0708,19,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N72A1,Yes,2007-11-30,46.4,18.6,190,3450,FEMALE,9.32105,-24.64162,
PAL0708,20,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N72A2,Yes,2007-11-30,49.2,18.2,195,4400,MALE,9.27158,-24.64335,
PAL0708,21,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N73A1,Yes,2007-12-03,42.4,17.3,181,3600,FEMALE,9.35138,-24.68790,
PAL0708,22,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N73A2,Yes,2007-12-03,48.5,17.5,191,3400,MALE,9.42666,-24.26375,
PAL0708,23,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N85A1,No,2007-11-28,43.2,16.6,187,2900,FEMALE,9.35416,-25.01185,"Nest never observed with full clutch."
PAL0708,24,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N85A2,No,2007-11-28,50.6,19.4,193,3800,MALE,9.28153,-24.97134,"Nest never observed with full clutch."
PAL0708,25,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N89A1,No,2007-11-28,46.7,17.9,195,3300,FEMALE,9.74144,-24.59467,"Nest never observed with full clutch."
PAL0708,26,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N89A2,No,2007-11-28,52.0,19.0,197,4150,MALE,9.36799,-24.47142,"Nest never observed with full clutch."
PAL0809,27,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N61A1,No,2008-11-25,50.5,18.4,200,3400,FEMALE,8.93990,-23.89017,"Nest never observed with full clutch."
PAL0809,28,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N61A2,No,2008-11-25,49.5,19.0,200,3800,MALE,9.63074,-24.34684,"Nest never observed with full clutch."
PAL0809,29,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N62A1,Yes,2008-11-14,46.4,17.8,191,3700,FEMALE,9.37369,-24.52896,
PAL0809,30,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N62A2,Yes,2008-11-14,52.8,20.0,205,4550,MALE,9.25177,-24.69638,
PAL0809,31,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N63A1,Yes,2008-11-24,40.9,16.6,187,3200,FEMALE,9.08458,-24.54903,
PAL0809,32,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N63A2,Yes,2008-11-24,54.2,20.8,201,4300,MALE,9.49283,-24.59996,
PAL0809,33,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N65A1,Yes,2008-11-24,42.5,16.7,187,3350,FEMALE,9.36668,-24.45195,
PAL0809,34,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N65A2,Yes,2008-11-24,51.0,18.8,203,4100,MALE,9.23196,-24.17282,
PAL0809,35,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N67A1,Yes,2008-11-25,49.7,18.6,195,3600,MALE,9.75486,-24.31198,
PAL0809,36,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N67A2,Yes,2008-11-25,47.5,16.8,199,3900,FEMALE,9.07825,-25.14550,
PAL0809,37,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N69A1,Yes,2008-11-14,47.6,18.3,195,3850,FEMALE,8.83502,-24.65859,
PAL0809,38,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N69A2,Yes,2008-11-14,52.0,20.7,210,4800,MALE,9.43146,-24.68440,
PAL0809,39,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N72A1,No,2008-11-24,46.9,16.6,192,2700,FEMALE,9.80589,-24.73735,"Nest never observed with full clutch."
PAL0809,40,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N72A2,No,2008-11-24,53.5,19.9,205,4500,MALE,10.02544,-24.90816,"Nest never observed with full clutch."
PAL0809,41,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N74A1,Yes,2008-11-24,49.0,19.5,210,3950,MALE,9.53262,-24.66867,
PAL0809,42,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N74A2,Yes,2008-11-24,46.2,17.5,187,3650,FEMALE,9.61734,-24.66188,
PAL0809,43,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N75A1,Yes,2008-11-14,50.9,19.1,196,3550,MALE,10.02372,-24.86594,
PAL0809,44,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N75A2,Yes,2008-11-14,45.5,17.0,196,3500,FEMALE,9.36493,-24.66259,
PAL0910,45,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N86A1,Yes,2009-11-17,50.9,17.9,196,3675,FEMALE,9.43684,-24.16566,
PAL0910,46,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N86A2,Yes,2009-11-17,50.8,18.5,201,4450,MALE,9.45827,-24.35575,
PAL0910,47,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N87A1,Yes,2009-11-27,50.1,17.9,190,3400,FEMALE,9.46819,-24.45721,
PAL0910,48,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N87A2,Yes,2009-11-27,49.0,19.6,212,4300,MALE,9.34089,-24.45189,
PAL0910,49,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N88A1,Yes,2009-11-23,51.5,18.7,187,3250,MALE,9.68950,-24.43062,
PAL0910,50,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N88A2,Yes,2009-11-23,49.8,17.3,198,3675,FEMALE,9.32169,-24.41562,
PAL0910,51,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N90A1,Yes,2009-11-21,48.1,16.4,199,3325,FEMALE,9.46929,-24.48403,
PAL0910,52,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N90A2,Yes,2009-11-21,51.4,19.0,201,3950,MALE,9.43782,-24.36202,
PAL0910,53,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N92A1,Yes,2009-11-23,45.7,17.3,193,3600,FEMALE,9.41500,-24.80500,
PAL0910,54,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N92A2,Yes,2009-11-23,50.7,19.7,203,4050,MALE,9.93727,-24.59066,
PAL0910,55,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N93A1,Yes,2009-11-27,42.5,17.3,187,3350,FEMALE,9.56534,-24.60882,
PAL0910,56,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N93A2,Yes,2009-11-27,52.2,18.8,197,3450,MALE,9.77528,-24.56481,
PAL0910,57,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N94A1,Yes,2009-11-21,45.2,16.6,191,3250,FEMALE,9.62357,-24.78984,
PAL0910,58,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N94A2,Yes,2009-11-21,49.3,19.9,203,4050,MALE,9.88809,-24.59513,
PAL0910,59,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N95A1,Yes,2009-11-21,50.2,18.8,202,3800,MALE,9.74492,-24.40400,
PAL0910,60,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N95A2,Yes,2009-11-21,45.6,19.4,194,3525,FEMALE,9.46985,-24.65786,
PAL0910,61,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N96A1,Yes,2009-11-27,51.9,19.5,206,3950,MALE,,-23.78767,"No delta15N data received from lab."
PAL0910,62,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N96A2,Yes,2009-11-27,46.8,16.5,189,3650,FEMALE,9.65061,-24.48153,
PAL0910,63,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N98A1,Yes,2009-11-19,45.7,17.0,195,3650,FEMALE,9.26715,-24.31912,
PAL0910,64,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N98A2,Yes,2009-11-19,55.8,19.8,207,4000,MALE,9.70465,-24.53494,
PAL0910,65,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N99A1,No,2009-11-21,43.5,18.1,202,3400,FEMALE,9.37608,-24.40753,"Nest never observed with full clutch."
PAL0910,66,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N99A2,No,2009-11-21,49.6,18.2,193,3775,MALE,9.46180,-24.70615,"Nest never observed with full clutch."
PAL0910,67,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N100A1,Yes,2009-11-21,50.8,19.0,210,4100,MALE,9.98044,-24.68741,
PAL0910,68,"Chinstrap penguin (Pygoscelis antarctica)",Anvers,Dream,"Adult, 1 Egg Stage",N100A2,Yes,2009-11-21,50.2,18.7,198,3775,FEMALE,9.39305,-24.25255,
