SubjectNumber	Condition	NumberStickers	NumberEnvelopes	Gender	Agemonths	Ageyears	Agegroups	Subject'sEnvelope	LeftEnvelope	RightEnvelope	absolutenumberofstickersgiven(Conditions1or3:Outof12;Conditions2or4:Outof30)	PercentGiven(Outof100percent)	Giveornot	LargerEnvelopeabs	LargeEnvelopepercent	SmallerEnvelopeabs	SmallEnvelopepercent
"67"	"3"	"2"	"1"	"1"	48.0	4.0	"1"	"8"	"22"	""	"22"	"0.73"	"1"	""	""	""	""
"68"	"4"	"2"	"2"	"2"	48.0	4.0	"1"	"28"	"1"	"1"	"2"	"7.0000000000000007E-2"	"1"	"1"	"0.5"	"1"	"0.5"
"69"	"4"	"2"	"2"	"1"	48.0	4.0	"1"	"14"	"16"	"0"	"16"	"0.53"	"1"	"16"	"1"	"0"	"0"
"70"	"3"	"2"	"1"	"1"	49.0	4.0	"1"	"22"	"8"	""	"8"	"0.27"	"1"	""	""	""	""
"71"	"3"	"2"	"1"	"1"	49.0	4.0	"1"	"30"	"0"	""	"0"	"0"	"0"	""	""	""	""
"72"	"4"	"2"	"2"	"1"	49.0	4.0	"1"	"10"	"12"	"8"	"20"	"0.67"	"1"	"12"	"0.6"	"8"	"0.4"
"73"	"4"	"2"	"2"	"2"	49.0	4.0	"1"	"19"	"5"	"6"	"11"	"0.37"	"1"	"6"	"0.54545454545454541"	"5"	"0.45454545454545453"
"74"	"4"	"2"	"2"	"2"	49.0	4.0	"1"	"30"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"75"	"4"	"2"	"2"	"1"	49.0	4.0	"1"	"30"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"76"	"1"	"1"	"1"	"1"	50.0	4.0	"1"	"4"	"8"	""	"8"	"0.67"	"1"	""	""	""	""
"77"	"2"	"1"	"2"	"1"	50.0	4.0	"1"	"6"	"6"	"0"	"6"	"0.5"	"1"	"6"	"1"	"0"	"0"
"78"	"3"	"2"	"1"	"1"	50.0	4.0	"1"	"14"	"16"	""	"16"	"0.53"	"1"	""	""	""	""
"79"	"1"	"1"	"1"	"2"	51.0	4.0	"1"	"5"	"5"	""	"5"	"0.42"	"1"	""	""	""	""
"80"	"1"	"1"	"1"	"2"	51.0	4.0	"1"	"12"	"0"	""	"0"	"0"	"0"	""	""	""	""
"81"	"2"	"1"	"2"	"2"	52.0	4.0	"1"	"8"	"2"	"2"	"4"	"0.33"	"1"	"2"	"0.5"	"2"	"0.5"
"82"	"3"	"2"	"1"	"2"	52.0	4.0	"1"	"30"	"0"	""	"0"	"0"	"0"	""	""	""	""
"83"	"3"	"2"	"1"	"1"	52.0	4.0	"1"	"15"	"15"	""	"15"	"0.5"	"1"	""	""	""	""
"84"	"3"	"2"	"1"	"1"	52.0	4.0	"1"	"30"	"0"	""	"0"	"0"	"0"	""	""	""	""
"85"	"4"	"2"	"2"	"2"	52.0	4.0	"1"	"14"	"8"	"8"	"16"	"0.53"	"1"	"8"	"0.5"	"8"	"0.5"
"86"	"1"	"1"	"1"	"1"	53.0	4.0	"1"	"12"	"0"	""	"0"	"0"	"0"	""	""	""	""
"87"	"3"	"2"	"1"	"1"	53.0	4.0	"1"	"21"	"9"	""	"9"	"0.3"	"1"	""	""	""	""
"88"	"3"	"2"	"1"	"2"	53.0	4.0	"1"	"30"	"0"	""	"0"	"0"	"0"	""	""	""	""
"89"	"4"	"2"	"2"	"2"	53.0	4.0	"1"	"30"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"90"	"1"	"1"	"1"	"2"	54.0	4.0	"1"	"11"	"1"	""	"1"	"0.08"	"1"	""	""	""	""
"91"	"1"	"1"	"1"	"2"	54.0	4.0	"1"	"12"	"0"	""	"0"	"0"	"0"	""	""	""	""
"92"	"2"	"1"	"2"	"1"	54.0	4.0	"1"	"6"	"3"	"3"	"6"	"0.5"	"1"	"3"	"0.5"	"3"	"0.5"
"93"	"2"	"1"	"2"	"2"	55.0	4.0	"1"	"12"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"94"	"2"	"1"	"2"	"1"	55.0	4.0	"1"	"5"	"4"	"3"	"7"	"0.57999999999999996"	"1"	"4"	"0.5714285714285714"	"3"	"0.42857142857142855"
"95"	"2"	"1"	"2"	"1"	55.0	4.0	"1"	"4"	"6"	"2"	"8"	"0.67"	"1"	"6"	"0.75"	"2"	"0.25"
"96"	"4"	"2"	"2"	"1"	55.0	4.0	"1"	"17"	"4"	"9"	"13"	"0.43"	"1"	"9"	"0.69230769230769229"	"4"	"0.30769230769230771"
"97"	"2"	"1"	"2"	"1"	56.0	4.0	"1"	"12"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"98"	"2"	"1"	"2"	"2"	56.0	4.0	"1"	"4"	"4"	"4"	"8"	"0.67"	"1"	"4"	"0.5"	"4"	"0.5"
"99"	"2"	"1"	"2"	"2"	56.0	4.0	"1"	"8"	"4"	"0"	"4"	"0.33"	"1"	"4"	"1"	"0"	"0"
"100"	"2"	"1"	"2"	"1"	56.0	4.0	"1"	"4"	"4"	"4"	"8"	"0.67"	"1"	"4"	"0.5"	"4"	"0.5"
"101"	"2"	"1"	"2"	"2"	56.0	4.0	"1"	"7"	"2"	"3"	"5"	"0.42"	"1"	"3"	"0.6"	"2"	"0.4"
"102"	"3"	"2"	"1"	"1"	56.0	4.0	"1"	"30"	"0"	""	"0"	"0"	"0"	""	""	""	""
"103"	"3"	"2"	"1"	"1"	56.0	4.0	"1"	"30"	"0"	""	"0"	"0"	"0"	""	""	""	""
"104"	"4"	"2"	"2"	"1"	56.0	4.0	"1"	"30"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"105"	"3"	"2"	"1"	"2"	57.0	4.0	"1"	"24"	"6"	""	"6"	"0.2"	"1"	""	""	""	""
"106"	"2"	"1"	"2"	"1"	58.0	4.0	"1"	"7"	"3"	"2"	"5"	"0.42"	"1"	"3"	"0.6"	"2"	"0.4"
"107"	"3"	"2"	"1"	"1"	58.0	4.0	"1"	"22"	"8"	""	"8"	"0.27"	"1"	""	""	""	""
"108"	"3"	"2"	"1"	"2"	58.0	4.0	"1"	"13"	"17"	""	"17"	"0.56999999999999995"	"1"	""	""	""	""
"109"	"1"	"1"	"1"	"1"	59.0	4.0	"1"	"6"	"6"	""	"6"	"0.5"	"1"	""	""	""	""
"110"	"2"	"1"	"2"	"2"	59.0	4.0	"1"	"6"	"2"	"4"	"6"	"0.5"	"1"	"4"	"0.66666666666666663"	"2"	"0.33333333333333331"
"111"	"4"	"2"	"2"	"1"	59.0	4.0	"1"	"15"	"11"	"4"	"15"	"0.5"	"1"	"11"	"0.73333333333333328"	"4"	"0.26666666666666666"
"112"	"1"	"1"	"1"	"2"	60.0	5.0	"2"	"9"	"3"	""	"3"	"0.25"	"1"	""	""	""	""
"113"	"1"	"1"	"1"	"2"	60.0	5.0	"2"	"7"	"5"	""	"5"	"0.42"	"1"	""	""	""	""
"114"	"1"	"1"	"1"	"1"	60.0	5.0	"2"	"12"	"0"	""	"0"	"0"	"0"	""	""	""	""
"115"	"1"	"1"	"1"	"2"	60.0	5.0	"2"	"9"	"3"	""	"3"	"0.25"	"1"	""	""	""	""
"116"	"1"	"1"	"1"	"1"	60.0	5.0	"2"	"6"	"6"	""	"6"	"0.5"	"1"	""	""	""	""
"117"	"2"	"1"	"2"	"2"	60.0	5.0	"2"	"2"	"4"	"6"	"10"	"0.83"	"1"	"6"	"0.6"	"4"	"0.4"
"118"	"2"	"1"	"2"	"1"	60.0	5.0	"2"	"7"	"5"	"0"	"5"	"0.42"	"1"	"5"	"1"	"0"	"0"
"119"	"2"	"1"	"2"	"2"	60.0	5.0	"2"	"11"	"1"	"0"	"1"	"0.08"	"1"	"1"	"1"	"0"	"0"
"120"	"2"	"1"	"2"	"2"	60.0	5.0	"2"	"3"	"5"	"4"	"9"	"0.75"	"1"	"5"	"0.55555555555555558"	"4"	"0.44444444444444442"
"121"	"2"	"1"	"2"	"2"	60.0	5.0	"2"	"3"	"8"	"1"	"9"	"0.75"	"1"	"8"	"0.88888888888888884"	"1"	"0.1111111111111111"
"122"	"3"	"2"	"1"	"2"	60.0	5.0	"2"	"20"	"10"	""	"10"	"0.33"	"1"	""	""	""	""
"123"	"4"	"2"	"2"	"1"	60.0	5.0	"2"	"18"	"6"	"6"	"12"	"0.4"	"1"	"6"	"0.5"	"6"	"0.5"
"124"	"2"	"1"	"2"	"2"	60.0	5.0	"2"	"12"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"125"	"2"	"1"	"2"	"1"	60.0	5.0	"2"	"8"	"2"	"2"	"4"	"0.33333333333333331"	"1"	"2"	"0.5"	"2"	"0.5"
"126"	"1"	"1"	"1"	"1"	61.0	5.0	"2"	"6"	"6"	""	"6"	"0.5"	"1"	""	""	""	""
"127"	"3"	"2"	"1"	"1"	61.0	5.0	"2"	"16"	"14"	""	"14"	"0.47"	"1"	""	""	""	""
"128"	"3"	"2"	"1"	"1"	61.0	5.0	"2"	"23"	"7"	""	"7"	"0.23"	"1"	""	""	""	""
"129"	"3"	"2"	"1"	"2"	61.0	5.0	"2"	"28"	"2"	""	"2"	"7.0000000000000007E-2"	"1"	""	""	""	""
"130"	"3"	"2"	"1"	"1"	61.0	5.0	"2"	"30"	"0"	""	"0"	"0"	"0"	""	""	""	""
"131"	"3"	"2"	"1"	"1"	62.0	5.0	"2"	"22"	"8"	""	"8"	"0.27"	"1"	""	""	""	""
"132"	"4"	"2"	"2"	"1"	62.0	5.0	"2"	"30"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"133"	"3"	"2"	"1"	"1"	62.0	5.0	"2"	"15"	"15"	""	"15"	"0.5"	"1"	""	""	""	""
"134"	"2"	"1"	"2"	"2"	62.0	5.0	"2"	"3"	"7"	"2"	"9"	"0.75"	"1"	"7"	"0.77777777777777779"	"2"	"0.22222222222222221"
"135"	"1"	"1"	"1"	"2"	62.0	5.0	"2"	"12"	"0"	""	"0"	"0"	"0"	""	""	""	""
"136"	"1"	"1"	"1"	"1"	63.0	5.0	"2"	"12"	"0"	""	"0"	"0"	"0"	""	""	""	""
"137"	"1"	"1"	"1"	"1"	63.0	5.0	"2"	"10"	"2"	""	"2"	"0.17"	"1"	""	""	""	""
"138"	"1"	"1"	"1"	"1"	63.0	5.0	"2"	"6"	"6"	""	"6"	"0.5"	"1"	""	""	""	""
"139"	"2"	"1"	"2"	"1"	63.0	5.0	"2"	"6"	"3"	"3"	"6"	"0.5"	"1"	"3"	"0.5"	"3"	"0.5"
"140"	"4"	"2"	"2"	"1"	63.0	5.0	"2"	"11"	"10"	"9"	"19"	"0.63"	"1"	"10"	"0.52631578947368418"	"9"	"0.47368421052631576"
"141"	"4"	"2"	"2"	"2"	63.0	5.0	"2"	"17"	"7"	"6"	"13"	"0.43"	"1"	"7"	"0.53846153846153844"	"6"	"0.46153846153846156"
"142"	"3"	"2"	"1"	"1"	63.0	5.0	"2"	"17"	"13"	""	"13"	"0.43333333333333335"	"1"	""	""	""	""
"143"	"1"	"1"	"1"	"1"	64.0	5.0	"2"	"7"	"5"	""	"5"	"0.42"	"1"	""	""	""	""
"144"	"2"	"1"	"2"	"2"	64.0	5.0	"2"	"12"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"145"	"2"	"1"	"2"	"2"	64.0	5.0	"2"	"6"	"3"	"3"	"6"	"0.5"	"1"	"3"	"0.5"	"3"	"0.5"
"146"	"3"	"2"	"1"	"1"	64.0	5.0	"2"	"29"	"1"	""	"1"	"0.03"	"1"	""	""	""	""
"147"	"3"	"2"	"1"	"2"	64.0	5.0	"2"	"23"	"7"	""	"7"	"0.23"	"1"	""	""	""	""
"148"	"4"	"2"	"2"	"1"	64.0	5.0	"2"	"15"	"8"	"7"	"15"	"0.5"	"1"	"8"	"0.53333333333333333"	"7"	"0.46666666666666667"
"149"	"1"	"1"	"1"	"2"	64.0	5.0	"2"	"4"	"8"	""	"8"	"0.66666666666666663"	"1"	""	""	""	""
"150"	"1"	"1"	"1"	"1"	65.0	5.0	"2"	"12"	"0"	""	"0"	"0"	"0"	""	""	""	""
"151"	"1"	"1"	"1"	"1"	65.0	5.0	"2"	"7"	"5"	""	"5"	"0.42"	"1"	""	""	""	""
"152"	"2"	"1"	"2"	"2"	65.0	5.0	"2"	"12"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"153"	"2"	"1"	"2"	"2"	65.0	5.0	"2"	"12"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"154"	"3"	"2"	"1"	"1"	65.0	5.0	"2"	"21"	"9"	""	"9"	"0.3"	"1"	""	""	""	""
"155"	"3"	"2"	"1"	"2"	65.0	5.0	"2"	"23"	"7"	""	"7"	"0.23"	"1"	""	""	""	""
"156"	"4"	"2"	"2"	"2"	65.0	5.0	"2"	"15"	"8"	"7"	"15"	"0.5"	"1"	"8"	"0.53333333333333333"	"7"	"0.46666666666666667"
"157"	"4"	"2"	"2"	"2"	65.0	5.0	"2"	"30"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"158"	"4"	"2"	"2"	"1"	65.0	5.0	"2"	"7"	"14"	"9"	"23"	"0.76666666666666672"	"1"	"14"	"0.60869565217391308"	"9"	"0.39130434782608697"
"159"	"1"	"1"	"1"	"1"	66.0	5.0	"2"	"12"	"0"	""	"0"	"0"	"0"	""	""	""	""
"160"	"1"	"1"	"1"	"1"	66.0	5.0	"2"	"7"	"5"	""	"5"	"0.42"	"1"	""	""	""	""
"161"	"3"	"2"	"1"	"2"	66.0	5.0	"2"	"30"	"0"	""	"0"	"0"	"0"	""	""	""	""
"162"	"3"	"2"	"1"	"1"	66.0	5.0	"2"	"23"	"7"	""	"7"	"0.23333333333333334"	"1"	""	""	""	""
"163"	"1"	"1"	"1"	"1"	66.0	5.0	"2"	"12"	"0"	""	"0"	"0"	"0"	""	""	""	""
"164"	"3"	"2"	"1"	"1"	67.0	5.0	"2"	"30"	"0"	""	"0"	"0"	"0"	""	""	""	""
"165"	"2"	"1"	"2"	"2"	68.0	5.0	"2"	"6"	"3"	"3"	"6"	"0.5"	"1"	"3"	"0.5"	"3"	"0.5"
"166"	"3"	"2"	"1"	"2"	68.0	5.0	"2"	"12"	"18"	""	"18"	"0.6"	"1"	""	""	""	""
"167"	"4"	"2"	"2"	"2"	68.0	5.0	"2"	"26"	"2"	"2"	"4"	"0.13"	"1"	"2"	"0.5"	"2"	"0.5"
"168"	"4"	"2"	"2"	"1"	68.0	5.0	"2"	"16"	"9"	"5"	"14"	"0.47"	"1"	"9"	"0.6428571428571429"	"5"	"0.35714285714285715"
"169"	"1"	"1"	"1"	"1"	69.0	5.0	"2"	"9"	"3"	""	"3"	"0.25"	"1"	""	""	""	""
"170"	"2"	"1"	"2"	"1"	69.0	5.0	"2"	"6"	"4"	"2"	"6"	"0.5"	"1"	"4"	"0.66666666666666663"	"2"	"0.33333333333333331"
"171"	"3"	"2"	"1"	"2"	69.0	5.0	"2"	"30"	"0"	""	"0"	"0"	"0"	""	""	""	""
"172"	"3"	"2"	"1"	"1"	69.0	5.0	"2"	"30"	"0"	""	"0"	"0"	"0"	""	""	""	""
"173"	"3"	"2"	"1"	"2"	69.0	5.0	"2"	"22"	"8"	""	"8"	"0.27"	"1"	""	""	""	""
"174"	"4"	"2"	"2"	"1"	69.0	5.0	"2"	"11"	"19"	"0"	"19"	"0.63"	"1"	"19"	"1"	"0"	"0"
"175"	"2"	"1"	"2"	"1"	70.0	5.0	"2"	"4"	"4"	"4"	"8"	"0.67"	"1"	"4"	"0.5"	"4"	"0.5"
"176"	"2"	"1"	"2"	"2"	70.0	5.0	"2"	"6"	"3"	"3"	"6"	"0.5"	"1"	"3"	"0.5"	"3"	"0.5"
"177"	"4"	"2"	"2"	"1"	70.0	5.0	"2"	"10"	"8"	"12"	"20"	"0.67"	"1"	"12"	"0.6"	"8"	"0.4"
"178"	"4"	"2"	"2"	"1"	70.0	5.0	"2"	"14"	"8"	"8"	"16"	"0.53"	"1"	"8"	"0.5"	"8"	"0.5"
"179"	"4"	"2"	"2"	"2"	70.0	5.0	"2"	"5"	"10"	"15"	"25"	"0.83"	"1"	"15"	"0.6"	"10"	"0.4"
"180"	"4"	"2"	"2"	"1"	70.0	5.0	"2"	"28"	"1"	"1"	"2"	"6.6666666666666666E-2"	"1"	"1"	"0.5"	"1"	"0.5"
"181"	"3"	"2"	"1"	"2"	70.0	5.0	"2"	"30"	"0"	""	"0"	"0"	"0"	""	""	""	""
"182"	"4"	"2"	"2"	"2"	70.0	5.0	"2"	"11"	"9"	"10"	"19"	"0.6333333333333333"	"1"	"10"	"0.52631578947368418"	"9"	"0.47368421052631576"
"183"	"1"	"1"	"1"	"2"	70.0	5.0	"2"	"12"	"0"	""	"0"	"0"	"0"	""	""	""	""
"184"	"2"	"1"	"2"	"1"	71.0	5.0	"2"	"8"	"1"	"3"	"4"	"0.33"	"1"	"3"	"0.75"	"1"	"0.25"
"185"	"4"	"2"	"2"	"1"	71.0	5.0	"2"	"15"	"15"	""	"15"	"0.5"	"1"	""	""	""	""
