series,baker_full,baker,age,occupation,hometown,baker_last,baker_first,star_baker,technical_winner,technical_top3,technical_bottom,technical_highest,technical_lowest,technical_median,series_winner,series_runner_up,total_episodes_appeared,first_date_appeared,last_date_appeared,first_date_us,last_date_us,percent_episodes_appeared,percent_technical_top3
3,Natasha Stringer,Natasha,36,Midwife,"Tamworth, Staffordshire",Stringer,Natasha,0,0,0,1,12,12,12,0,0,1,2012-08-14,2012-08-14,NA,NA,10,0
3,Peter Maloney,Peter,43,Sales manager,"Windsor, Berkshire",Maloney,Peter,0,0,1,1,3,11,7,0,0,2,2012-08-14,2012-08-21,NA,NA,20,50
3,Ryan Chong,Ryan,38,Photographer,Bristol,Chong,Ryan,1,0,0,7,5,8,6,0,0,7,2012-08-14,2012-09-25,NA,NA,70,0
3,Sarah-Jane Willis,Sarah-Jane,28,Vicar's wife,"Bewbush, West Sussex",Willis,Sarah-Jane,0,1,1,6,1,10,4,0,0,7,2012-08-14,2012-09-25,NA,NA,70,14.285714285714286
3,Victoria Chester,Victoria,50,CEO of the charity Plantlife,Somerset,Chester,Victoria,1,0,0,3,4,7,4,0,0,3,2012-08-14,2012-08-28,NA,NA,30,0
3,Stuart Marston-Smith,Stuart,26,PE teacher,"Lichfield, Staffordshire",Marston-Smith,Stuart,0,0,0,4,7,9,8.5,0,0,4,2012-08-14,2012-09-04,NA,NA,40,0
4,Ali Imdad,Ali,25,Charity worker,"Saltley, Birmingham",Imdad,Ali,0,0,0,4,5,11,8.5,0,0,4,2013-08-20,2013-09-10,2014-12-28,2015-01-18,40,0
4,Beca Lyne-Pirkis,Beca,31,Military Wives' Choir Singer,"Aldershot, Hampshire",Lyne-Pirkis,Beca,0,1,3,6,1,11,5,0,0,9,2013-08-20,2013-10-15,2014-12-28,2015-02-22,90,33.333333333333336
4,Christine Wallace,Christine,66,Director of an engraving company,"Didcot, Oxfordshire",Wallace,Christine,2,1,2,6,1,7,4,0,0,8,2013-08-20,2013-10-08,2014-12-28,2015-02-15,80,25
4,Deborah Manger,Deborah,51,Dentist,Peterborough,Manger,Deborah,0,0,0,3,8,9,9,0,0,3,2013-08-20,2013-09-03,2014-12-28,2015-01-11,30,0
4,Frances Quinn,Frances,31,Children's Clothes Designer,"Market Harborough, Leicestershire",Quinn,Frances,1,1,7,3,1,8,3,1,0,10,2013-08-20,2013-10-22,2014-12-28,2015-03-01,100,70
4,Glenn Cosby,Glenn,37,English Teacher,"Teignmouth, Devon",Cosby,Glenn,0,1,3,4,1,9,4,0,0,7,2013-08-20,2013-10-01,2014-12-28,2015-02-08,70,42.857142857142854
4,Howard Middleton,Howard,51,Council Worker,Sheffield,Middleton,Howard,0,0,0,6,5,10,7,0,0,6,2013-08-20,2013-09-24,2014-12-28,2015-02-01,60,0
4,Kimberley Wilson,Kimberley,30,Psychologist,London,Wilson,Kimberley,2,3,5,5,1,10,3.5,0,1,10,2013-08-20,2013-10-22,2014-12-28,2015-03-01,100,50
4,Lucy Bellamy,Lucy,38,Horticulturist,"Grimsby, Lincolnshire",Bellamy,Lucy,0,0,1,1,2,12,7,0,0,2,2013-08-20,2013-08-27,2014-12-28,2015-01-04,20,50
4,Mark Onley,Mark,37,Carpenter & Kitchen Fitter,Milton Keynes,Onley,Mark,0,0,0,3,5,11,6,0,0,3,2013-08-20,2013-09-03,2014-12-28,2015-01-11,30,0
4,Robert Smart,Robert,54,Space Satellite Designer,"Melbourn, Cambridgeshire",Smart,Robert,1,1,3,2,1,5,3,0,0,5,2013-08-20,2013-09-17,2014-12-28,2015-01-25,50,60
4,Ruby Tandoh,Ruby,20,History of Art and Philosophy Student,"Southend, Essex",Tandoh,Ruby,3,2,6,4,1,12,3,0,1,10,2013-08-20,2013-10-22,2014-12-28,2015-03-01,100,60
4,Toby Waterworth,Toby,30,Web Programmer,"Reading, Berkshire",Waterworth,Toby,0,0,0,1,13,13,13,0,0,1,2013-08-20,2013-08-20,2014-12-28,2014-12-28,10,0
5,Chetna Makan,Chetna,35,Fashion designer,"Broadstairs, Kent",Makan,Chetna,1,1,5,4,1,8,3,0,0,9,2014-08-06,2014-10-01,2015-09-06,2015-11-01,90,55.55555555555556
5,Claire Goodwin,Claire,31,Speech therapist,"Ashton on Mersey, Trafford",Goodwin,Claire,0,0,0,1,8,8,8,0,0,1,2014-08-06,2014-08-06,2015-09-06,2015-09-06,10,0
5,Diana Beard,Diana,69,Women's Institute (WI) judge,"Alkington, Shropshire",Beard,Diana,0,0,0,4,5,9,7,0,0,5,2014-08-06,2014-09-03,2015-09-06,2015-10-04,50,0
5,Enwezor Nzegwu,Enwezor,39,Business consultant,"Portsmouth, Hampshire",Nzegwu,Enwezor,0,0,0,2,9,9,9,0,0,2,2014-08-06,2014-08-13,2015-09-06,2015-09-13,20,0
5,Iain Watters,Iain,31,Construction engineer,London / Belfast,Watters,Iain,0,0,0,4,4,11,7.5,0,0,4,2014-08-06,2014-08-27,2015-09-06,2015-09-27,40,0
5,Jordan Cox,Jordan,32,IT manager,"Sneinton, Nottingham",Cox,Jordan,0,0,0,3,6,12,10,0,0,3,2014-08-06,2014-08-20,2015-09-06,2015-09-20,30,0
5,Kate Henry,Kate,41,Furniture restorer,"Brighton, East Sussex",Henry,Kate,1,1,2,5,1,7,4,0,0,7,2014-08-06,2014-09-17,2015-09-06,2015-10-18,70,28.571428571428573
5,Luis Troyano,Luis,42,Graphic designer,"Poynton, Cheshire",Troyano,Luis,1,1,7,3,1,7,2.5,0,1,10,2014-08-06,2014-10-08,2015-09-06,2015-11-08,100,70
5,Martha Collison,Martha,17,Student,"Ascot, Berkshire",Collison,Martha,0,2,5,3,1,5,3,0,0,8,2014-08-06,2014-09-24,2015-09-06,2015-10-25,80,62.5
5,Nancy Birtwhistle,Nancy,60,Retired practice manager,"Barton-Upon-Humber, Lincolnshire",Birtwhistle,Nancy,1,3,7,3,1,5,2.5,1,0,10,2014-08-06,2014-10-08,2015-09-06,2015-11-08,100,70
5,Norman Calder,Norman,66,Retired naval officer,"Portknockie, Moray",Calder,Norman,0,0,0,5,4,11,8,0,0,5,2014-08-06,2014-09-03,2015-09-06,2015-10-04,50,0
5,Richard Burr,Richard,38,Builder,"Mill Hill, London",Burr,Richard,5,2,4,6,1,10,4.5,0,1,10,2014-08-06,2014-10-08,2015-09-06,2015-11-08,100,40
6,Alvin Magallanes,Alvin,37,Nurse,"Bracknell, Berkshire",Magallanes,Alvin,0,0,1,5,2,9,6,0,0,6,2015-08-05,2015-09-09,2016-07-01,2016-07-22,60,16.666666666666668
6,Dorret Conway,Dorret,53,Accountant,"Penwortham, Lancashire",Conway,Dorret,0,1,1,2,1,6,5,0,0,3,2015-08-05,2015-08-19,2016-07-01,2016-07-15,30,33.333333333333336
6,Flora Shedden,Flora,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Shedden,Flora,0,1,7,2,1,6,3,0,0,9,2015-08-05,2015-09-30,2016-07-01,2016-08-05,90,77.77777777777777
6,Ian Cumming,Ian,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Cumming,Ian,3,1,6,4,1,8,3,0,1,10,2015-08-05,2015-10-07,2016-07-01,2016-08-12,100,60
6,Marie Campbell,Marie,66,Retired,"Auchterarder, Perthshire",Campbell,Marie,1,0,1,1,3,11,7,0,0,2,2015-08-05,2015-08-12,2016-07-01,2016-07-08,20,50
6,Mat Riley,Mat,37,Fire fighter,London,Riley,Mat,1,1,1,6,1,8,6,0,0,7,2015-08-05,2015-09-16,2016-07-01,2016-07-29,70,14.285714285714286
6,Nadiya Hussain,Nadiya,30,Full-time mother,Leeds / Luton,Hussain,Nadiya,3,4,4,6,1,12,4,1,0,10,2015-08-05,2015-10-07,2016-07-01,2016-08-12,100,40
6,Paul Jagger,Paul,49,Prison governor,"Swansea, Wales",Jagger,Paul,0,1,3,5,1,10,5,0,0,8,2015-08-05,2015-09-23,2016-07-01,2016-07-29,80,37.5
6,Sandy Docherty,Sandy,49,Child welfare officer,"Yeadon, West Yorkshire",Docherty,Sandy,0,0,0,4,4,9,6.5,0,0,4,2015-08-05,2015-08-26,2016-07-01,2016-07-15,40,0
6,Stu Henshall,Stu,35,Professional musician,"Guildford, Surrey",Henshall,Stu,0,0,0,1,11,11,11,0,0,1,2015-08-05,2015-08-05,2016-07-01,2016-07-01,10,0
6,Tamal Ray,Tamal,29,Trainee anaesthetist,Manchester,Ray,Tamal,1,0,4,6,2,8,4,0,1,10,2015-08-05,2015-10-07,2016-07-01,2016-08-12,100,40
6,Ugnė Bubnaityte,Ugnė,32,PA and administrator,"Woodford, London",Bubnaityte,Ugnė,0,1,2,3,1,7,5,0,0,5,2015-08-05,2015-09-02,2016-07-01,2016-07-22,50,40
7,Andrew Smyth,Andrew,25,Aerospace engineer,"Derby / Holywood, County Down",Smyth,Andrew,2,2,5,5,1,12,3,0,1,10,2016-08-24,2016-10-26,2017-06-16,2017-08-04,100,50
7,Benjamina Ebuehi,Benjamina,23,Teaching assistant,South London,Ebuehi,Benjamina,1,1,4,4,1,6,3.5,0,0,8,2016-08-24,2016-10-12,2017-06-16,2017-07-28,80,50
7,Candice Brown,Candice,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Brown,Candice,3,1,7,3,1,8,2.5,1,0,10,2016-08-24,2016-10-26,2017-06-16,2017-08-04,100,70
7,Jane Beedle,Jane,61,Garden designer,Beckenham,Beedle,Jane,1,2,5,5,1,9,3.5,0,1,10,2016-08-24,2016-10-26,2017-06-16,2017-08-04,100,50
7,Kate Barmby,Kate,37,Nurse,"Brooke, Norfolk",Barmby,Kate,0,1,1,3,1,8,5.5,0,0,4,2016-08-24,2016-09-14,2017-06-16,2017-06-30,40,25
7,Lee Banfield,Lee,67,Pastor,Bolton,Banfield,Lee,0,0,0,1,11,11,11,0,0,1,2016-08-24,2016-08-24,2017-06-16,2017-06-16,10,0
7,Louise Williams,Louise,46,Hairdresser,Cardiff,Williams,Louise,0,0,0,2,9,10,9.5,0,0,2,2016-08-24,2016-08-31,2017-06-16,2017-06-16,20,0
7,Michael Georgiou,Michael,20,Student,Durham,Georgiou,Michael,0,0,1,2,3,9,7,0,0,3,2016-08-24,2016-09-07,2017-06-16,2017-06-23,30,33.333333333333336
7,Rav Bansal,Rav,28,Student support,Erith,Bansal,Rav,0,0,1,5,3,10,8,0,0,6,2016-08-24,2016-09-28,2017-06-16,2017-07-14,60,16.666666666666668
7,Selasi Gbormittah,Selasi,30,Client service associate,London,Gbormittah,Selasi,0,1,3,6,1,11,5,0,0,9,2016-08-24,2016-10-19,2017-06-16,2017-08-04,90,33.333333333333336
7,Tom Gilliford,Tom,26,Project engagement manager,Rochdale,Gilliford,Tom,2,1,2,5,1,7,4,0,0,7,2016-08-24,2016-10-05,2017-06-16,2017-07-21,70,28.571428571428573
7,"Valerie ""Val"" Stones",Val,66,"Semi-retired, Substitute teacher",Yeovil,Stones,Valerie,0,1,1,4,1,10,6,0,0,5,2016-08-24,2016-09-21,2017-06-16,2017-07-07,50,20
8,Chris Geiger,Chris,50,Software developer,Bristol,Geiger,Chris,0,0,0,2,11,12,11.5,0,0,2,2017-08-29,2017-09-05,NA,NA,20,0
8,Flo Atkins,Flo,71,Retired,Merseyside,Atkins,Flo,0,0,0,3,7,10,9,0,0,3,2017-08-29,2017-09-12,NA,NA,30,0
8,James Hillery,James,46,Banker,"Brentwood, Essex",Hillery,James,0,0,3,2,2,9,3,0,0,5,2017-08-29,2017-09-26,NA,NA,50,60
8,Julia Chernogorova,Julia,21,Aviation Broker,"Crawley, West Sussex",Chernogorova,Julia,1,0,3,3,2,9,3.5,0,0,6,2017-08-29,2017-10-03,NA,NA,60,50
8,Kate Lyon,Kate,29,Health and safety inspector,Merseyside,Lyon,Kate,1,1,3,7,1,10,5.5,0,1,10,2017-08-29,2017-10-31,NA,NA,100,30
8,Liam Charles,Liam,19,Student,North London,Charles,Liam,1,0,3,5,2,8,4.5,0,0,8,2017-08-29,2017-10-17,NA,NA,80,37.5
8,Peter Abatan,Peter,52,IT programme manager,"Southend, Essex",Abatan,Peter,0,0,0,1,10,10,10,0,0,1,2017-08-29,2017-08-29,NA,NA,10,0
8,Sophie Faldo,Sophie,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Faldo,Sophie,2,2,6,4,1,6,2.5,1,0,10,2017-08-29,2017-10-31,NA,NA,100,60
8,Stacey Hart,Stacey,42,Former school teacher,"Radlett, Hertfordshire",Hart,Stacey,1,2,4,5,1,11,4,0,0,9,2017-08-29,2017-10-24,NA,NA,90,44.44444444444444
8,Steven Carter-Bailey,Steven,34,Marketer,"Watford, Hertfordshire",Carter-Bailey,Steven,3,3,6,4,1,7,3,0,1,10,2017-08-29,2017-10-31,NA,NA,100,60
8,Tom Hetherington,Tom,29,Architect,Edinburgh,Hetherington,Tom,0,0,0,4,4,7,5,0,0,4,2017-08-29,2017-09-19,NA,NA,40,0
8,"Chuen-Yan ""Yan"" Tsou",Yan,46,Laboratory research scientist,North London,Tsou,Chuen-Yan,0,2,2,5,1,8,5,0,0,7,2017-08-29,2017-10-10,NA,NA,70,28.571428571428573
